RptDt,TckrSymb,ISIN,Asst,BalQty,TradAvrgPric,PricFctr,"BalVal"
RptDt,TckrSymb,ISIN,Asst,BalQty,TradAvrgPric,PricFctr,"BalVal"
2022-12-26,A1BB34,BRA1BBBDR009,A1BB,19,"39,14",1,"743,66"
2022-12-26,A1EG34,BRA1EGBDR002,A1EG,2,"25,45",1,"50,9"
2022-12-26,A1ES34,BRA1ESBDR007,A1ES,2,"148,91",1,"297,82"
2022-12-26,A1IV34,BRA1IVBDR002,A1IV,2,"38,03",1,"76,06"
2022-12-26,A1MD34,BRA1MDBDR002,A1MD,3099,"45,0640722",1,"139653,56"
2022-12-26,A1ME34,BRA1MEBDR000,A1ME,11,"30,21",1,"332,31"
2022-12-26,A1MP34,BRA1MPBDR006,A1MP,3,"400,66",1,"1201,98"
2022-12-26,A1RE34,BRA1REBDR009,A1RE,3763,"187,629782",1,"706050,87"
2022-12-26,A1UT34,BRA1UTBDR001,A1UT,189,"245,2549735",1,"46353,19"
2022-12-26,A1VB34,BRA1VBBDR007,A1VB,32,"222,1846875",1,"7109,91"
2022-12-26,A1ZN34,BRA1ZNBDR003,A1ZN,1,"62,13",1,"62,13"
2022-12-26,A2MR34,BRA2MRBDR000,A2MR,16,"10,34",1,"165,44"
2022-12-26,A2RW34,BRA2RWBDR009,A2RW,395,"37,97",1,"14998,15"
2022-12-26,A2SO34,BRA2SOBDR004,A2SO,1,"72,01",1,"72,01"
2022-12-26,AALL34,BRAALLBDR003,AALL,99,"64,26",1,"6361,74"
2022-12-26,AALR3,BRAALRACNOR6,AALR,2000472,"20,5311546",1,"41071999,97"
2022-12-26,AAPL34,BRAAPLBDR004,AAPL,1067175,"35,989284",1,"38406864,24"
2022-12-26,ABCB4,BRABCBACNPR4,ABCB,1362529,"19,1007431",1,"26025316,4"
2022-12-26,ABEV3,BRABEVACNOR1,ABEV,332964007,"15,229013",1,"5070713199,57"
2022-12-26,ABTT34,BRABTTBDR007,ABTT,15,"47,5726666",1,"713,59"
2022-12-26,ACWI11,BRACWICTF001,ACWI,585301,"9,2423529",1,"5409558,43"
2022-12-26,ADBE34,BRADBEBDR003,ADBE,752,"34,57",1,"25996,64"
2022-12-26,AERI3,BRAERIACNOR4,AERI,9625052,"1,167287",1,"11235198,11"
2022-12-26,AESB3,BRAESBACNOR7,AESB,26377366,"9,6266044",1,"253924469,83"
2022-12-26,AGRI11,BRAGRICTF002,AGRI,212,"45,5",1,"9646"
2022-12-26,AGRO3,BRAGROACNOR7,AGRO,3162174,"26,9940278",1,"85359813,18"
2022-12-26,AGXY3,BRAGXYACNOR4,AGXY,299252,"8,7547156",1,"2619866,18"
2022-12-26,AIRB34,BRAIRBBDR004,AIRB,197384,"24,7329006",1,"4881878,87"
2022-12-26,ALLD3,BRALLDACNOR3,ALLD,78295,"6,2444393",1,"488908,38"
2022-12-26,ALPA3,BRALPAACNOR0,ALPA,959,"12,2576538",1,"11755,09"
2022-12-26,ALPA4,BRALPAACNPR7,ALPA,13364496,"14,4984389",1,"193764329,14"
2022-12-26,ALPK3,BRALPKACNOR9,ALPK,84941,"1,67758",1,"142495,33"
2022-12-26,ALSO3,BRALSOACNOR5,ALSO,22128161,"16,6004369",1,"367337140,73"
2022-12-26,ALUG11,BRALUGCTF000,ALUG,69070,"34,3115391",1,"2369898,01"
2022-12-26,ALUP11,BRALUPCDAM15,ALUP,2248624,"26,3454963",1,"59241115,48"
2022-12-26,ALUP3,BRALUPACNOR8,ALUP,333,"9,363063",1,"3117,9"
2022-12-26,ALUP4,BRALUPACNPR5,ALUP,1938,"9,007807",1,"17457,13"
2022-12-26,ALZR11,BRALZRCTF006,ALZR,3404,"113,3491686",1,"385840,57"
2022-12-26,AMAR3,BRAMARACNOR4,AMAR,23201803,"1,328369",1,"30820557,29"
2022-12-26,AMBP3,BRAMBPACNOR6,AMBP,2123312,"21,51379",1,"45680488,49"
2022-12-26,AMER3,BRAMERACNOR6,AMER,65126117,"8,9193956",1,"580885604,84"
2022-12-26,AMZO34,BRAMZOBDR002,AMZO,1459230,"23,0556011",1,"33643424,92"
2022-12-26,ANIM3,BRANIMACNOR6,ANIM,8326154,"4,0909739",1,"34062079,07"
2022-12-26,APER3,BRAPERACNOR9,APER,103262,"26,8634839",1,"2773977,08"
2022-12-26,ARML3,BRARMLACNOR1,ARML,5179601,"11,4027461",1,"59061675,17"
2022-12-26,ARMT34,BRARMTBDR008,ARMT,22,"68,83",1,"1514,26"
2022-12-26,ARZZ3,BRARZZACNOR3,ARZZ,5005305,"81,0625206",1,"405742640,16"
2022-12-26,ASAI3,BRASAIACNOR0,ASAI,83982012,"19,4703026",1,"1635155187,2"
2022-12-26,ASIA11,BRASIACTF011,ASIA,14,"7,5492857",1,"105,69"
2022-12-26,ATMP3,BRATMPACNOR8,ATMP,3645,"1,1344965",1,"4135,24"
2022-12-26,ATOM3,BRATOMACNOR1,ATOM,806,"2,2379528",1,"1803,79"
2022-12-26,ATTB34,BRATTBBDR007,ATTB,300,"33,79",1,"10137"
2022-12-26,AURA33,BRAURABDR001,AURA,212837,"30,2658769",1,"6441698,46"
2022-12-26,AURE3,BRAUREACNOR9,AURE,12266985,"14,3353379",1,"175851376,14"
2022-12-26,AVGO34,BRAVGOBDR003,AVGO,1093,"39,6110978",1,"43294,93"
2022-12-26,AVLL3,BRAVLLACNOR5,AVLL,512,"6,7648046",1,"3463,58"
2022-12-26,AXPB34,BRAXPBBDR007,AXPB,3,"77,9833333",1,"233,95"
2022-12-26,AZEV3,BRAZEVACNOR0,AZEV,13647,"1,3401524",1,"18289,06"
2022-12-26,AZEV4,BRAZEVACNPR7,AZEV,866554,"1,3774385",1,"1193624,87"
2022-12-26,AZUL4,BRAZULACNPR4,AZUL,27752972,"11,2879269",1,"313273520,21"
